,Unnamed: 0,Brand,OS,RAM,ROM,Prices,Display,Processor,Warranty,Rating
304,304,Lenovo,Windows 11,16,512,48990,16,AMD Ryzen 7 Octa Core ,1,4.2
305,305,DELL,Windows 11,16,512,68649,14,Intel Core i5 ,1,4.2
306,306,Lenovo,Windows 11,16,1024,104990,16,AMD Ryzen 7 Octa Core ,1,4.4
307,307,HP,Windows 11,8,512,55990,15.6,AMD Ryzen 5 Hexa Core ,1,4.4
308,308,DELL,Windows 11,8,512,41350,14,Intel Core i3 ,1,4.4
309,309,Lenovo,Windows 11,16,1024,99990,15.6,AMD Ryzen 7 Octa Core ,1,4.5
310,310,DELL,Windows 11,8,1024,99990,14.96,Intel Core i3 ,1,3.6
311,311,ASUS,Windows 11,16,512,72990,15.6,Intel Core i5 ,1,4.5
312,312,ASUS,Windows 11,16,512,60990,15.6,AMD Ryzen 5 Hexa Core ,1,4.3
313,313,HP,Windows 11,16,512,79990,15.6,Intel Core i5 ,1,4.3
314,314,HP,Windows 11,16,512,67990,14,Intel Core i7 ,1,3.3
315,315,ASUS,Windows 11,8,512,47990,16,AMD Ryzen 5 Hexa Core ,1,4.4
316,316,ASUS,Windows 11,8,512,41827,15.6,Intel Core i3 ,1,4.4
317,317,ASUS,Windows 11,8,512,74784,17.3,AMD Ryzen 7 Octa Core ,1,4.4
318,318,HP,Windows 11,8,512,59990,15.6,Intel Core i5 ,1,4.2
319,319,DELL,Windows 11,8,1024,59990,15.6,Intel Core i5 ,1,4.3
320,320,DELL,Windows 11,8,256,43999,14,Intel Core i3 ,1,3.6
321,321,DELL,Windows 11,8,512,74890,14,Intel Core i5 ,1,3.6
322,322,Lenovo,Windows 11,16,512,76990,15.6,Intel Core i5 ,1,4.4
323,323,Apple,Mac,32,1024,288990,14,Apple M2 Max ,1,4.4
324,324,ASUS,Windows 11,8,1024,56990,15.6,Intel Core i5 ,1,4.5
325,325,ASUS,Windows 11,16,512,89990,14,Intel Core i5 ,1,4.5
326,326,HP,Windows 11,32,1024,161490,14,Intel Core Ultra 7 ,1,4.5
327,327,Lenovo,Windows 10,8,256,57500,14,AMD Ryzen 5 Hexa Core ,1,4.4
328,328,HP,Windows 11,16,512,62500,15.6,AMD Ryzen 5 Hexa Core ,1,4.4
